bean type;broad bean origin;year;cacao percentage;company location;company;Number of Records;reference;rating;review year;specific bean origin
Forastero (Nacional);Ecuador;1-1-2017 00:00:00;1;Netherlands;Alexandre;1;1944;3,5;2017;Winak Coop, Napo
Criollo, Trinitario;Nicaragua;1-1-2017 00:00:00;1;Netherlands;Alexandre;1;1944;3,5;2017;La Dalia, Matagalpa
Trinitario;Vietnam;1-1-2017 00:00:00;1;Netherlands;Alexandre;1;1944;3,5;2017;Tien Giang
Forastero;Tanzania;1-1-2017 00:00:00;1;Netherlands;Alexandre;1;1944;3,5;2017;Makwale Village, Kyela
;Nicaragua;1-1-2016 00:00:00;1;U.S.A.;Altus aka Cao Artisan;1;1728;2,75;2016;Momotombo
;Peru;1-1-2016 00:00:00;1;U.S.A.;Altus aka Cao Artisan;1;1728;3;2016;Acopagro
;Bolivia;1-1-2016 00:00:00;1;U.S.A.;Altus aka Cao Artisan;1;1732;2,5;2016;CIAAB Coop
;Peru;1-1-2016 00:00:00;1;U.S.A.;Altus aka Cao Artisan;1;1732;2,5;2016;Villa Andina
;Ecuador;1-1-2016 00:00:00;1;U.S.A.;Altus aka Cao Artisan;1;1732;2,75;2016;Gruppo Salinas
;Venezuela;1-1-2013 00:00:00;1;U.S.A.;Altus aka Cao Artisan;1;1125;2,5;2013;Sur del Lago
Trinitario;Dominican Republic;1-1-2013 00:00:00;1;U.S.A.;Altus aka Cao Artisan;1;1125;3;2013;Conacado
;Bolivia;1-1-2013 00:00:00;1;U.S.A.;Altus aka Cao Artisan;1;1129;3,25;2013;Bolivia
;Bolivia;1-1-2013 00:00:00;1;U.S.A.;Altus aka Cao Artisan;1;1133;3;2013;Bolivia
;Peru;1-1-2013 00:00:00;1;U.S.A.;Altus aka Cao Artisan;1;1133;3,25;2013;Peru
;Papua New Guinea;1-1-2011 00:00:00;1;U.S.A.;Amano;1;725;4;2011;Morobe
;Dominican Republic;1-1-2010 00:00:00;1;U.S.A.;Amano;1;470;3,75;2010;Dos Rios
;Ecuador;1-1-2010 00:00:00;1;U.S.A.;Amano;1;470;4;2010;Guayas
Trinitario;Venezuela;1-1-2010 00:00:00;1;U.S.A.;Amano;1;544;3;2010;Chuao
;Venezuela;1-1-2009 00:00:00;1;U.S.A.;Amano;1;363;3;2009;Montanya
;Indonesia;1-1-2008 00:00:00;1;U.S.A.;Amano;1;304;2,75;2008;Bali, Jembrana
Trinitario;Madagascar;1-1-2007 00:00:00;1;U.S.A.;Amano;1;129;3,5;2007;Madagascar
;Venezuela;1-1-2007 00:00:00;1;U.S.A.;Amano;1;147;3;2007;Cuyagua
Criollo;Venezuela;1-1-2007 00:00:00;1;U.S.A.;Amano;1;175;3,75;2007;Ocumare
Forastero;Ghana;1-1-2009 00:00:00;1;Spain;Amatller (Simon Coll);1;322;3;2009;Ghana
;Ecuador;1-1-2009 00:00:00;1;Spain;Amatller (Simon Coll);1;327;2,75;2009;Ecuador
;Ecuador;1-1-2009 00:00:00;1;Spain;Amatller (Simon Coll);1;464;2,75;2009;Ecuador
Forastero;Ghana;1-1-2009 00:00:00;1;Spain;Amatller (Simon Coll);1;464;3;2009;Ghana
;Peru;1-1-2013 00:00:00;1;Peru;Amazona;1;1145;3,25;2013;LamasdelChanka, San Martin, Oro Verde coop
Trinitario;Peru;1-1-2013 00:00:00;1;Peru;Amazona;1;1145;3,5;2013;Bellavista Gran Pajeten, San Martin
Trinitario;Belize;1-1-2015 00:00:00;1;Canada;Ambrosia;1;1494;3;2015;Belize
Trinitario;Madagascar;1-1-2015 00:00:00;1;Canada;Ambrosia;1;1494;3,25;2015;Madagascar
;Dominican Republic;1-1-2015 00:00:00;1;Canada;Ambrosia;1;1498;3,25;2015;Dominican Republic
;Papua New Guinea;1-1-2015 00:00:00;1;Canada;Ambrosia;1;1498;3,25;2015;Papua New Guinea
;Venezuela;1-1-2015 00:00:00;1;Canada;Ambrosia;1;1498;3,25;2015;Venezuela
;Peru;1-1-2015 00:00:00;1;Canada;Ambrosia;1;1498;3,5;2015;Peru
;Peru;1-1-2012 00:00:00;1;Italy;Amedei;1;979;3,75;2012;Piura, Blanco de Criollo
Criollo (Porcelana);Venezuela;1-1-2007 00:00:00;1;Italy;Amedei;1;111;4;2007;Porcelana
Blend;;1-1-2007 00:00:00;1;Italy;Amedei;1;111;4;2007;Nine
Trinitario;Venezuela;1-1-2007 00:00:00;1;Italy;Amedei;1;111;5;2007;Chuao
Trinitario;Ecuador;1-1-2007 00:00:00;1;Italy;Amedei;1;123;3;2007;Ecuador
Trinitario;Jamaica;1-1-2007 00:00:00;1;Italy;Amedei;1;123;3;2007;Jamaica
Trinitario;Grenada;1-1-2007 00:00:00;1;Italy;Amedei;1;123;3,5;2007;Grenada
Trinitario (85% Criollo);Venezuela;1-1-2007 00:00:00;1;Italy;Amedei;1;123;3,75;2007;Venezuela
Trinitario (85% Criollo);Madagascar;1-1-2007 00:00:00;1;Italy;Amedei;1;123;4;2007;Madagascar
Trinitario;Trinidad;1-1-2007 00:00:00;1;Italy;Amedei;1;129;3,5;2007;Trinidad
Blend;;1-1-2007 00:00:00;1;Italy;Amedei;1;170;3,5;2007;Toscano Black
Blend;;1-1-2006 00:00:00;1;Italy;Amedei;1;40;5;2006;Toscano Black
Blend;;1-1-2006 00:00:00;1;Italy;Amedei;1;75;4;2006;Toscano Black
Forastero (Catongo);Brazil;1-1-2013 00:00:00;1;Brazil;AMMA;1;1065;3,25;2013;Catongo
Forastero (Parazinho);Brazil;1-1-2010 00:00:00;1;Brazil;AMMA;1;572;2,75;2010;Monte Alegre, 3 diff. plantations
Forastero (Parazinho);Brazil;1-1-2010 00:00:00;1;Brazil;AMMA;1;572;3,75;2010;Monte Alegre, 3 diff. plantations
Forastero (Parazinho);Brazil;1-1-2010 00:00:00;1;Brazil;AMMA;1;572;3,75;2010;Monte Alegre, 3 diff. plantations
Forastero (Parazinho);Brazil;1-1-2010 00:00:00;1;Brazil;AMMA;1;572;4;2010;Monte Alegre, 3 diff. plantations
;Dominican Republic;1-1-2014 00:00:00;1;U.S.A.;Anahata;1;1259;3;2014;Elvesia
;Bolivia;1-1-2016 00:00:00;1;U.S.A.;Animas;1;1852;3,5;2016;Alto Beni
Trinitario;Madagascar;1-1-2014 00:00:00;1;France;Ara;1;1375;3;2014;Madagascar
;Mexico;1-1-2014 00:00:00;1;France;Ara;1;1379;2,5;2014;Chiapas
;Ecuador;1-1-2014 00:00:00;1;France;Ara;1;1379;2,75;2014;Equateur
;Venezuela;1-1-2014 00:00:00;1;France;Ara;1;1379;3;2014;Trincheras
Trinitario;Trinidad;1-1-2016 00:00:00;1;U.S.A.;Arete;1;1724;3,5;2016;San Juan
;Tanzania;1-1-2016 00:00:00;1;U.S.A.;Arete;1;1724;3,75;2016;Kokoa Kamili
Trinitario;Vietnam;1-1-2016 00:00:00;1;U.S.A.;Arete;1;1900;3,5;2016;Tien Giang
;Ecuador;1-1-2016 00:00:00;1;U.S.A.;Arete;1;1904;3,25;2016;Hacienda Victoria
;Ecuador;1-1-2016 00:00:00;1;U.S.A.;Arete;1;1904;3,25;2016;Costa Esmeraldas
;Guatemala;1-1-2016 00:00:00;1;U.S.A.;Arete;1;1904;3,5;2016;Lachua
;Nicaragua;1-1-2016 00:00:00;1;U.S.A.;Arete;1;1904;3,75;2016;Rugoso
;Honduras;1-1-2016 00:00:00;1;U.S.A.;Arete;1;1908;3,5;2016;La Masica, FHIA
;Costa Rica;1-1-2016 00:00:00;1;U.S.A.;Arete;1;1908;4;2016;Coto Brus, Terciopelo
Forastero (Nacional);Peru;1-1-2016 00:00:00;1;U.S.A.;Arete;1;1924;4;2016;Phantom
;Dominican Republic;1-1-2016 00:00:00;1;U.S.A.;Arete;1;1928;3,75;2016;Elvesia
;Fiji;1-1-2016 00:00:00;1;U.S.A.;Arete;1;1928;3,25;2016;Matasawalevu
;Vietnam;1-1-2016 00:00:00;1;U.S.A.;Arete;1;1928;3,25;2016;Lam Dong
;Brazil;1-1-2015 00:00:00;1;U.S.A.;Arete;1;1534;3,5;2015;Fazenda Camboa
Forastero (Nacional);Peru;1-1-2015 00:00:00;1;U.S.A.;Arete;1;1534;3,5;2015;Nacional
Forastero (Nacional);Ecuador;1-1-2015 00:00:00;1;U.S.A.;Arete;1;1534;3,75;2015;Puerto Quito, heirloom
;Domincan Republic;1-1-2015 00:00:00;1;U.S.A.;Arete;1;1598;3,5;2015;Oko Caribe
Trinitario;Belize;1-1-2015 00:00:00;1;U.S.A.;Arete;1;1598;3,75;2015;Maya Mountain
Criollo, Trinitario;Nicaragua;1-1-2015 00:00:00;1;U.S.A.;Arete;1;1598;4;2015;Chuno
;Brazil;1-1-2015 00:00:00;1;U.S.A.;Arete;1;1602;2,75;2015;Fazenda Camboa
;Guatemala;1-1-2015 00:00:00;1;U.S.A.;Arete;1;1602;3,25;2015;Guatemala
;Ecuador;1-1-2015 00:00:00;1;U.S.A.;Arete;1;1602;3,5;2015;Camino Verde
Trinitario;Trinidad;1-1-2013 00:00:00;1;U.K.;Artisan du Chocolat;1;1193;3,25;2013;Trinidad, Heritage, Limited ed.
;Colombia;1-1-2012 00:00:00;1;U.K.;Artisan du Chocolat;1;947;3,75;2012;Colombia, Casa Luker
;Haiti;1-1-2011 00:00:00;1;U.K.;Artisan du Chocolat;1;729;4;2011;Haiti
;Panama;1-1-2011 00:00:00;1;U.K.;Artisan du Chocolat;1;745;2,75;2011;Panama
;Venezuela;1-1-2010 00:00:00;1;U.K.;Artisan du Chocolat;1;486;1,75;2010;Venezuela
Trinitario;Jamaica;1-1-2010 00:00:00;1;U.K.;Artisan du Chocolat;1;531;3,75;2010;Jamaica
;Costa Rica;1-1-2010 00:00:00;1;U.K.;Artisan du Chocolat;1;600;3,25;2010;Costa Rica
Trinitario;Vietnam;1-1-2010 00:00:00;1;U.K.;Artisan du Chocolat;1;600;3,25;2010;Ba Ria Vung Tau Province
;Indonesia;1-1-2010 00:00:00;1;U.K.;Artisan du Chocolat;1;600;3,5;2010;Bali
Criollo, Trinitario;Venezuela;1-1-2009 00:00:00;1;U.K.;Artisan du Chocolat;1;355;2,5;2009;Ocumare, Venezuela
Trinitario;Indonesia;1-1-2009 00:00:00;1;U.K.;Artisan du Chocolat;1;355;2,75;2009;Java
;Brazil;1-1-2009 00:00:00;1;U.K.;Artisan du Chocolat;1;363;1,75;2009;Brazil Rio Doce
Criollo, Trinitario;Madagascar;1-1-2009 00:00:00;1;U.K.;Artisan du Chocolat;1;363;3;2009;Madagascar
Criollo;Peru;1-1-2009 00:00:00;1;U.K.;Artisan du Chocolat;1;363;3;2009;Peru
Trinitario;Dominican Republic;1-1-2009 00:00:00;1;U.K.;Artisan du Chocolat;1;363;3,25;2009;Dominican Republic
Forastero;Congo;1-1-2008 00:00:00;1;U.K.;Artisan du Chocolat;1;300;3,75;2008;Congo
Trinitario;Colombia;1-1-2013 00:00:00;1;U.K.;Artisan du Chocolat (Casa Luker);1;1181;2,75;2013;Orinoqua Region, Arauca
Trinitario;Tanzania;1-1-2016 00:00:00;1;U.S.A.;Askinosie;1;1780;3,75;2016;Mababa
Trinitario;Tanzania;1-1-2011 00:00:00;1;U.S.A.;Askinosie;1;647;3,75;2011;Tenende, Uwate
Trinitario;Honduras;1-1-2011 00:00:00;1;U.S.A.;Askinosie;1;661;3,75;2011;Cortes
Trinitario;Philippines;1-1-2009 00:00:00;1;U.S.A.;Askinosie;1;331;3,75;2009;Davao
Trinitario;Mexico;1-1-2007 00:00:00;1;U.S.A.;Askinosie;1;141;2,5;2007;Xoconusco
Forastero (Arriba);Ecuador;1-1-2007 00:00:00;1;U.S.A.;Askinosie;1;175;3;2007;San Jose del Tambo
;;1-1-2015 00:00:00;1;Australia;Bahen & Co.;1;1474;3,25;2015;Houseblend
;Papua New Guinea;1-1-2015 00:00:00;1;Australia;Bahen & Co.;1;1474;3,5;2015;Papua New Guinea
Trinitario;Madagascar;1-1-2012 00:00:00;1;Australia;Bahen & Co.;1;995;3;2012;Sambirano
;Brazil;1-1-2012 00:00:00;1;Australia;Bahen & Co.;1;999;2,5;2012;Bahia
Blend;;1-1-2012 00:00:00;1;Australia;Bahen & Co.;1;999;2,5;2012;Houseblend
;Peru;1-1-2015 00:00:00;1;Peru;Bakau;1;1454;2,75;2015;Bambamarca, 2015
;Peru;1-1-2015 00:00:00;1;Peru;Bakau;1;1454;3,5;2015;Huallabamba, 2015
;Brazil;1-1-2015 00:00:00;1;U.S.A.;Bar Au Chocolat;1;1554;3,5;2015;Bahia
Forastero (Nacional);Peru;1-1-2014 00:00:00;1;U.S.A.;Bar Au Chocolat;1;1295;4;2014;Maranon Canyon
;Dominican Republic;1-1-2012 00:00:00;1;U.S.A.;Bar Au Chocolat;1;983;3,25;2012;Duarte Province
;Mexico;1-1-2012 00:00:00;1;U.S.A.;Bar Au Chocolat;1;983;3,5;2012;Chiapas
Trinitario;Madagascar;1-1-2012 00:00:00;1;U.S.A.;Bar Au Chocolat;1;983;3,75;2012;Sambirano
;Costa Rica;1-1-2012 00:00:00;1;Wales;Baravelli's;1;955;2,75;2012;single estate
;Domincan Republic;1-1-2016 00:00:00;1;U.S.A.;Batch;1;1840;3,5;2016;Dominican Republic, Batch 3
;Brazil;1-1-2016 00:00:00;1;U.S.A.;Batch;1;1868;3,75;2016;Brazil
;Ecuador;1-1-2016 00:00:00;1;U.S.A.;Batch;1;1880;3,25;2016;Ecuador
;Malaysia;1-1-2017 00:00:00;1;U.K.;Beau Cacao;1;1948;3;2017;Asajaya E, NW Borneo, b. #132/4500
;Malaysia;1-1-2017 00:00:00;1;U.K.;Beau Cacao;1;1948;3,25;2017;Serian E., NW Borneo, b. #134/3800
;Brazil;1-1-2016 00:00:00;1;U.S.A.;Beehive;1;1784;2,75;2016;Brazil, Batch 20316
;Domincan Republic;1-1-2016 00:00:00;1;U.S.A.;Beehive;1;1784;2,75;2016;Dominican Republic, Batch 31616
;Ecuador;1-1-2016 00:00:00;1;U.S.A.;Beehive;1;1784;2,75;2016;Ecuador, Batch 31516
;Ecuador;1-1-2016 00:00:00;1;U.S.A.;Beehive;1;1788;2,75;2016;Ecuador
;Costa Rica;1-1-2010 00:00:00;1;Belgium;Belcolade;1;586;2,75;2010;Costa Rica
;Papua New Guinea;1-1-2010 00:00:00;1;Belgium;Belcolade;1;586;2,75;2010;Papua New Guinea
;Peru;1-1-2010 00:00:00;1;Belgium;Belcolade;1;586;2,75;2010;Peru
;Ecuador;1-1-2010 00:00:00;1;Belgium;Belcolade;1;586;3,5;2010;Ecuador
Criollo, Trinitario;Tanzania;1-1-2016 00:00:00;1;U.S.A.;Bellflower;1;1800;3,5;2016;Kakao Kamili, Kilombero Valley
;Bolivia;1-1-2016 00:00:00;1;U.S.A.;Bellflower;1;1804;3,25;2016;Alto Beni, Palos Blanco
;Domincan Republic;1-1-2016 00:00:00;1;U.S.A.;Bellflower;1;1864;3,5;2016;Oko Caribe, Duarte P.
Trinitario;Belize;1-1-2016 00:00:00;1;Germany;Belyzium;1;1768;2,75;2016;Belize south, low fermentation
Trinitario;Belize;1-1-2016 00:00:00;1;Germany;Belyzium;1;1768;3;2016;Belize south
Trinitario;Belize;1-1-2016 00:00:00;1;Germany;Belyzium;1;1768;3,5;2016;Belize south
Trinitario;Cuba;1-1-2013 00:00:00;1;Belgium;Benoit Nihant;1;1141;3,5;2013;Baracoa
Criollo;Venezuela;1-1-2013 00:00:00;1;Belgium;Benoit Nihant;1;1141;3,5;2013;Chuao
Criollo;Venezuela;1-1-2013 00:00:00;1;Belgium;Benoit Nihant;1;1141;3,5;2013;Cuyagua Village
Trinitario;Ecuador;1-1-2013 00:00:00;1;Belgium;Benoit Nihant;1;1141;4;2013;Rio Peripa H.
Trinitario;Indonesia;1-1-2011 00:00:00;1;Belgium;Benoit Nihant;1;757;4;2011;Bali, Sukrama Bros. Farm, Melaya, 62hr C
Trinitario;Madagascar;1-1-2011 00:00:00;1;Belgium;Benoit Nihant;1;773;3,75;2011;Somia Plantation, Sambirano, 70hr C
;;1-1-2012 00:00:00;1;France;Bernachon;1;797;2,75;2012;Nature
Trinitario;Madagascar;1-1-2011 00:00:00;1;Switzerland;Beschle (Felchlin);1;636;3;2011;Madagascar
Criollo;Venezuela;1-1-2011 00:00:00;1;Switzerland;Beschle (Felchlin);1;636;3;2011;Maracaibo
;Venezuela;1-1-2011 00:00:00;1;Switzerland;Beschle (Felchlin);1;636;3,5;2011;Indigena Amazonia, Grand Cru, Quizas
;Ecuador;1-1-2011 00:00:00;1;Switzerland;Beschle (Felchlin);1;636;4;2011;Ecuador
Trinitario;Venezuela;1-1-2010 00:00:00;1;Switzerland;Beschle (Felchlin);1;508;3,25;2010;Carenero S., Barlovento, Grand Cru
Criollo (Porcelana);Venezuela;1-1-2010 00:00:00;1;Switzerland;Beschle (Felchlin);1;508;3,25;2010;Porcelana, Premier Cru, Quizas No. 1
;Indonesia;1-1-2010 00:00:00;1;Switzerland;Beschle (Felchlin);1;508;3,5;2010;Java, Grand Cru
;Venezuela;1-1-2010 00:00:00;1;Switzerland;Beschle (Felchlin);1;508;3,5;2010;Ocumare, Premier Cru, Quizas No. 2
;Nicaragua;1-1-2015 00:00:00;1;U.S.A.;Bisou;1;1482;2,5;2015;Nicaragua, American style
;Costa Rica;1-1-2015 00:00:00;1;U.S.A.;Bisou;1;1486;2,5;2015;San Andres, American style
;Costa Rica;1-1-2015 00:00:00;1;U.S.A.;Bisou;1;1486;2,5;2015;San Andres, silk
Trinitario;Belize;1-1-2015 00:00:00;1;U.S.A.;Bisou;1;1486;3,25;2015;Belize
Forastero;Ghana;1-1-2012 00:00:00;1;U.S.A.;Bittersweet Origins;1;963;3,5;2012;Ghana
;Indonesia;1-1-2010 00:00:00;1;U.S.A.;Bittersweet Origins;1;478;3,25;2010;Bali, Singaraja
Blend;Dominican Rep., Bali;1-1-2010 00:00:00;1;U.S.A.;Bittersweet Origins;1;502;3,75;2010;2009 Hapa Nibby
;Indonesia;1-1-2010 00:00:00;1;U.S.A.;Bittersweet Origins;1;558;2,75;2010;Bali, Singaraja
Trinitario;Madagascar;1-1-2010 00:00:00;1;U.S.A.;Bittersweet Origins;1;565;3;2010;Sambirano, 2009
Criollo;Venezuela;1-1-2010 00:00:00;1;U.S.A.;Bittersweet Origins;1;565;3;2010;Ocumare, prototype
;Dominican Republic;1-1-2009 00:00:00;1;U.S.A.;Bittersweet Origins;1;414;3;2009;Puerto Plata
;Dominican Republic;1-1-2009 00:00:00;1;U.S.A.;Bittersweet Origins;1;414;3,5;2009;Puerto Plata
Trinitario;Madagascar;1-1-2009 00:00:00;1;U.S.A.;Bittersweet Origins;1;423;3,25;2009;Sambirano
Trinitario;Madagascar;1-1-2009 00:00:00;1;U.S.A.;Bittersweet Origins;1;431;3,5;2009;Sambirano
Trinitario;Madagascar;1-1-2008 00:00:00;1;U.S.A.;Bittersweet Origins;1;233;3;2008;Sambirano
;Panama;1-1-2008 00:00:00;1;U.S.A.;Bittersweet Origins;1;233;3,5;2008;Bocas del Toro
;Dominican Republic;1-1-2008 00:00:00;1;U.S.A.;Bittersweet Origins;1;233;3,75;2008;Puerto Plata
Forastero;Ghana;1-1-2008 00:00:00;1;U.S.A.;Bittersweet Origins;1;256;3;2008;Ankasa
;Dominican Republic;1-1-2008 00:00:00;1;U.S.A.;Black Mountain;1;256;2,75;2008;La Red
Trinitario;Venezuela;1-1-2008 00:00:00;1;U.S.A.;Black Mountain;1;256;2,75;2008;Carenero Superior
;Nicaragua;1-1-2008 00:00:00;1;U.S.A.;Black Mountain;1;256;3;2008;Matiguas
Trinitario;Jamaica;1-1-2014 00:00:00;1;U.K.;Black River (A. Morin);1;1331;2,75;2014;Blue Mountain Region
Forastero;Congo;1-1-2013 00:00:00;1;Spain;Blanxart;1;1046;3,5;2013;Congo, Grand Cru
;;1-1-2009 00:00:00;1;Spain;Blanxart;1;322;2,75;2009;Organic Dark
Trinitario;Madagascar;1-1-2016 00:00:00;1;U.S.A.;Blue Bandana;1;1740;3,5;2016;Akesson's E., Sambirano V.
;Guatemala;1-1-2016 00:00:00;1;U.S.A.;Blue Bandana;1;1752;2,75;2016;Lachua
;Tanzania;1-1-2016 00:00:00;1;U.S.A.;Blue Bandana;1;1752;3,5;2016;Kokoa Kamili
;Dominican Republic;1-1-2016 00:00:00;1;U.S.A.;Blue Bandana;1;1756;3;2016;Zorzal Reserva
;Guatemala;1-1-2012 00:00:00;1;U.S.A.;Blue Bandana;1;911;3,5;2012;Guatemala
Trinitario;Madagascar;1-1-2012 00:00:00;1;U.S.A.;Blue Bandana;1;911;3,75;2012;Madagascar
;Mexico;1-1-2016 00:00:00;1;France;Bonnat;1;1912;3,5;2016;Selva Maya
;Brazil;1-1-2014 00:00:00;1;France;Bonnat;1;1339;4;2014;Kaori
;Dominican Republic;1-1-2014 00:00:00;1;France;Bonnat;1;1418;3,25;2014;Los Colorados, Santo Domingo, Equateur
;Venez,Africa,Brasil,Peru,Mex;1-1-2014 00:00:00;1;France;Bonnat;1;1418;3,75;2014;Surfin
;Brazil;1-1-2013 00:00:00;1;France;Bonnat;1;1038;3,5;2013;Maragnam
;Gabon;1-1-2013 00:00:00;1;France;Bonnat;1;1042;3,25;2013;Gabon
Trinitario;Cuba;1-1-2011 00:00:00;1;France;Bonnat;1;629;3,5;2011;Cuba
;Peru;1-1-2011 00:00:00;1;France;Bonnat;1;629;3,5;2011;Cusco, Cacao Cusco
Forastero (Nacional);Peru;1-1-2011 00:00:00;1;France;Bonnat;1;629;3,5;2011;Piura Blanco
;Brazil;1-1-2011 00:00:00;1;France;Bonnat;1;629;3,75;2011;Libanio
;Haiti;1-1-2011 00:00:00;1;France;Bonnat;1;629;4;2011;Haiti
Criollo;Madagascar;1-1-2011 00:00:00;1;France;Bonnat;1;629;4;2011;Madagascar, 100% criollo
;Brazil;1-1-2011 00:00:00;1;France;Bonnat;1;672;3,5;2011;Juliana
Trinitario;Jamaica;1-1-2011 00:00:00;1;France;Bonnat;1;761;3,25;2011;Jamaique
;Ivory Coast;1-1-2009 00:00:00;1;France;Bonnat;1;331;3;2009;Ivory Coast
Criollo;Peru;1-1-2009 00:00:00;1;France;Bonnat;1;336;2,75;2009;Porcelana, Apotequil
Criollo;Mexico;1-1-2009 00:00:00;1;France;Bonnat;1;336;3;2009;Porcelana, Tabasco, Marfil de Blanco
Criollo;Mexico;1-1-2009 00:00:00;1;France;Bonnat;1;395;3;2009;Xoconusco, cacao Real
Criollo (Porcelana);Venezuela;1-1-2008 00:00:00;1;France;Bonnat;1;199;4;2008;Porcelana, Venezuela
Forastero (Arriba);Ecuador;1-1-2007 00:00:00;1;France;Bonnat;1;123;2,5;2007;Equateur
Trinitario;Carribean;1-1-2006 00:00:00;1;France;Bonnat;1;24;3,75;2006;Trinite
;Venezuela;1-1-2006 00:00:00;1;France;Bonnat;1;32;4;2006;Ocumare, Puerto Cabello
Criollo;Venezuela;1-1-2006 00:00:00;1;France;Bonnat;1;48;4;2006;Maracaibo, El Rosario
Trinitario;Madagascar;1-1-2006 00:00:00;1;France;Bonnat;1;75;4;2006;Madagascar
;;1-1-2006 00:00:00;1;France;Bonnat;1;81;1,5;2006;One Hundred
;Sri Lanka;1-1-2006 00:00:00;1;France;Bonnat;1;81;3;2006;Ceylan
Trinitario;Venezuela;1-1-2006 00:00:00;1;France;Bonnat;1;81;4;2006;Chuao
